App,Category,Genre,Rating,Reviews,Installs,Size_KB,Type,Price,Content Rating,Last Updated,Current Ver,Android_Min_Version,App_apple,Rating_apple,Reviews_apple,Price_apple,Developer_apple,Match_Score,Source
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,Art & Design,4.1,159,10000.0,19456.0,Free,0.0,Everyone,2018-01-07,1.0.0,4.0,,,,,,50.0,google-only
Coloring book moana,ART_AND_DESIGN,Art & Design,3.9,967,500000.0,14336.0,Free,0.0,Everyone,2018-01-15,2.0.0,4.0,,,,,,40.625,google-only
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,Art & Design,4.7,87510,5000000.0,8908.8,Free,0.0,Everyone,2018-08-01,1.2.4,4.0,,,,,,28.94736842105263,google-only
Sketch - Draw & Paint,ART_AND_DESIGN,Art & Design,4.5,215644,50000000.0,25600.0,Free,0.0,Teen,2018-06-08,Varies with device,4.2,AR Drawing: Sketch & Paint,4.53071,43559.0,0.0,Digital Solutions Technologies Limited,85.0,both
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,Art & Design,4.3,967,100000.0,2867.2,Free,0.0,Everyone,2018-06-20,1.1,4.4,Sandbox - Pixel Art Coloring,4.73501,968643.0,0.0,Alexey Grigorkin,81.81818181818181,both
Paper flowers instructions,ART_AND_DESIGN,Art & Design,4.4,167,50000.0,5734.4,Free,0.0,Everyone,2017-03-26,1.0,2.3,,,,,,49.056603773584904,google-only
Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,Art & Design,3.8,178,50000.0,19456.0,Free,0.0,Everyone,2018-04-26,1.1,4.0,,,,,,38.70967741935484,google-only
Infinite Painter,ART_AND_DESIGN,Art & Design,4.1,36815,1000000.0,29696.0,Free,0.0,Everyone,2018-06-14,6.1.61.1,4.2,Infinite Painter,4.13471,9747.0,0.0,Sean Brakefield,100.0,both
Garden Coloring Book,ART_AND_DESIGN,Art & Design,4.4,13791,1000000.0,33792.0,Free,0.0,Everyone,2017-09-20,2.9.2,3.0,,,,,,43.333333333333336,google-only
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,Art & Design,4.7,121,10000.0,3174.4,Free,0.0,Everyone,2018-07-03,2.8,4.0,,,,,,62.96296296296296,google-only
Text on Photo - Fonteee,ART_AND_DESIGN,Art & Design,4.4,13880,1000000.0,28672.0,Free,0.0,Everyone,2017-10-27,1.0.4,4.1,Phonto - Text on Photos,4.81629,118532.0,0.0,youthhr,80.95238095238095,both
Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,Art & Design,4.4,8788,1000000.0,12288.0,Free,0.0,Everyone,2018-07-31,1.0.15,4.0,"Prisma: Photo Editor, Filters",4.74745,211164.0,0.0,"Prisma labs, inc.",85.1063829787234,both
Tattoo Name On My Photo Editor,ART_AND_DESIGN,Art & Design,4.2,44829,10000000.0,20480.0,Free,0.0,Teen,2018-04-02,3.8,4.1,,,,,,50.90909090909091,google-only
Mandala Coloring Book,ART_AND_DESIGN,Art & Design,4.6,4326,100000.0,21504.0,Free,0.0,Everyone,2018-06-26,1.0.4,4.4,Mandala Coloring Book Game,4.84815,1541.0,0.0,少婷 余,100.0,both
3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,Art & Design,4.4,1518,100000.0,37888.0,Free,0.0,Everyone,2018-08-03,1.2.3,2.3,Sandbox - Pixel Art Coloring,4.73501,968643.0,0.0,Alexey Grigorkin,100.0,both
Learn To Draw Kawaii Characters,ART_AND_DESIGN,Art & Design,3.2,55,5000.0,2764.8,Free,0.0,Everyone,2018-06-06,,4.2,How To Draw ⋆,4.41153,5873.0,0.0,Islambek Tanabay,77.77777777777777,both
Photo Designer - Write your name with shapes,ART_AND_DESIGN,Art & Design,4.7,3632,500000.0,5632.0,Free,0.0,Everyone,2018-07-31,3.1,4.1,,,,,,23.529411764705884,google-only
